Subject,Hdefault,Adaptivity,Noise,Norm_Ipast,Ipast,Ifuture,X_Ipast,X_Ifuture,Corr_S1,Corr_S2,Corr_S3
BC1809,0.436372758774137,0.538758395402126,1.06507408635856,0.510588803125058,0.571653132222635,0.176603570059937,0.061064329097577,0.0609800319977635,NaN,0.686686686686687,0.753753753753754
BC8966,0.00012606250115445,0.00412471459301458,3.13211508108011,0.103519580907043,0.211589112949749,0.153905696798142,0.108069532042706,0.108027119326742,0.795795795795796,NaN,NaN
BC8970,0.32246796799263,0.229558806978529,0.505209979501921,0.152012455347826,0.208168798432889,0.167624350954937,0.0561563430850631,0.0561515009449643,0.746746746746747,0.636636636636637,NaN
BT8810,0.250293711218655,0.167990618116707,0.417330328423639,0.212168660297757,0.313350165198827,0.197657925082346,0.10118150490107,0.100805218689782,0.797797797797798,NaN,0.748748748748749
BX1457,0.116417443939646,0.921893688746248,1.14839142023466,0.356819606970991,0.412975950056054,0.353392289906326,0.0561563430850631,0.0561515009449643,0.852852852852853,0.675675675675676,NaN
BX9019,0.361272691111932,0.109805942050447,0.182265772282808,0.0989605925662436,0.139889210388909,0.0674848538672431,0.0409286178226655,0.0409286178226655,NaN,0.584584584584585,NaN
CM8914,0.194147850130342,0.209402938760675,0.543124023631948,0.288269750621629,0.344426093706693,0.203552698243366,0.0561563430850631,0.0561515009449643,0.798798798798799,0.628628628628629,NaN
DN8438,0.236527404134707,0.282726969155466,0.79411834817252,0.263200266355374,0.364381771256444,0.165331260870844,0.10118150490107,0.100805218689782,0.723723723723724,NaN,0.7997997997998
DW1151,0.125500507498582,0.181015286931134,0.653188321043035,0.168277050748687,0.276346582791393,0.17503403558075,0.108069532042706,0.108027119326742,0.80980980980981,NaN,NaN
BY0,0.00113912219792815,-0.0452372295490957,1.40343730674433,0.147686954584483,0.255756486627189,0.200936351207511,0.108069532042706,0.108027119326742,0.861861861861862,NaN,NaN
CZ0,0.431978780243832,0.0664531658369823,0.217369491748242,0.0505366840174373,0.0914653018401028,0.0251688723086229,0.0409286178226655,0.0409286178226655,NaN,0.56956956956957,NaN
ET0,0.168056727795767,0.528660678371215,1.26116345954705,0.105650556536014,0.146579174358679,0.0467675162997457,0.0409286178226655,0.0409286178226655,NaN,0.566566566566567,NaN
FS0,0.108978618025485,0.166299275233216,0.68816557078685,0.320691808804738,0.422019972202817,0.219181165290519,0.101328163398079,0.101328163398079,NaN,NaN,0.761761761761762
KS0,0.367298220851468,0.534342011509436,2.43375262124019,0.0737118437042991,0.175040007102378,0.105761661403249,0.101328163398079,0.101328163398079,NaN,NaN,0.650650650650651
ML0,0.311745968533601,0.373982746112816,0.851585473518636,0.195836758442378,0.297164921840457,0.179344544306479,0.101328163398079,0.101328163398079,NaN,NaN,0.768768768768769
MS0,0.499662215824129,0.0002236141006147,0.00152408981398942,0.0147230287539506,0.0556516465766161,0.0519570234868428,0.0409286178226655,0.0409286178226655,NaN,0.515515515515516,NaN
MS1,0.0136759189973397,0.157774256938384,1.9668524185341,0.0953241519904368,0.196652315388516,0.153668108059812,0.101328163398079,0.101328163398079,NaN,NaN,0.726726726726727
MSA0,0.31066248030041,0.824894620206462,2.87162642352621,0.0876894337039255,0.189017597102005,0.15177518275417,0.101328163398079,0.101328163398079,NaN,NaN,0.735735735735736
NR0,0.161977878492493,0.270709207514121,0.685729737468152,0.19269389620134,0.300763428244046,0.197967888929985,0.108069532042706,0.108027119326742,0.823823823823824,NaN,NaN
FA8439,0.0550230492928208,0.322058194162382,0.877363776934714,0.206412464907843,0.314481996950549,0.234695562064789,0.108069532042706,0.108027119326742,0.85985985985986,NaN,NaN
FJ7,0.283845918569195,0.31071812054615,0.575878414304689,0.291022396805525,0.347178739890588,0.210677566404364,0.0561563430850631,0.0561515009449643,0.786786786786787,0.63963963963964,NaN
FN1169,0.0698257518730319,-0.00572749174819401,1.9107071075325,0.0311650669466171,0.0720936847692826,0.0347042804553874,0.0409286178226655,0.0409286178226655,NaN,0.563563563563564,NaN
GN8984,0.213581471984808,0.0753762974326069,0.404894451773543,0.165517228448457,0.22167357153352,0.164790318079707,0.0561563430850631,0.0561515009449643,0.786786786786787,0.507507507507508,NaN
IC7065,4.51021983602439e-05,-0.123518506210529,3.47255652707983,0.15259664831228,0.260666180354986,0.210511547229416,0.108069532042706,0.108027119326742,0.804804804804805,NaN,NaN
ID8987,0.209237836702839,0.0344857636116702,0.294071917459293,0.0923137449603874,0.200383277003093,0.148848891799835,0.108069532042706,0.108027119326742,0.782782782782783,NaN,NaN
IL8995,0.00127879947684513,0.183073583255931,1.78464065826367,0.145621847226751,0.246803352127821,0.201177612741743,0.10118150490107,0.100805218689782,0.83983983983984,NaN,0.784784784784785
