Var1,x,z,h,expH_bayes1,expH_bayes2,e1,e2,q1exp1,q1exp2
778,1,2,0.01,0.071313799591704,0.493719887816452,2.69777705199633,1.91722394806993,0.026375075562885,0.197525372281762
779,0,2,0.01,0.111443266304339,0.493978592597524,3.13031376370685,1.91637583237373,0.277545192574513,0.797450417526888
780,1,2,0.01,0.0987057889857078,0.494226840169401,2.91704765883519,1.91602116798543,0.0784162263325325,0.202145205637016
781,1,2,0.01,0.0777786952088144,0.494097411875285,2.70379806518285,1.91613645949321,0.0427216793916256,0.197956421571464
782,1,2,0.01,0.0675431781346683,0.49396353066121,2.57040714370946,1.91677482949699,0.0267776978598853,0.197625401038893
783,1,2,0.01,0.0586469854082536,0.493830136945493,2.45220502648167,1.91745310552932,0.0225509331136407,0.197568355130465
784,1,2,0.01,0.0530854828362955,0.493697733947429,2.36179877004026,1.91816198429904,0.0194333750551279,0.197516717165836
785,1,2,0.01,0.048698609419711,0.493566313172155,2.28403132253604,1.91890026556923,0.0178535602782247,0.197465826428497
786,1,2,0.01,0.045557289914481,0.493435854203812,2.21935453627202,1.9196680245308,0.0165330542585192,0.197415308039187
787,1,2,0.01,0.0430605332059743,0.493306335553063,2.16291923190695,1.92046535429658,0.0156179263091723,0.197365143602534
788,0,2,0.01,0.0689613791203207,0.49357079718044,2.51500077327489,1.91964859094295,0.194399511964055,0.797288021188525
789,1,2,0.01,0.0625308201638103,0.493824228037139,2.34831402955038,1.9193285115005,0.0557607749475062,0.202297713491565
790,1,2,0.01,0.0505453621411112,0.493697798103295,2.2013716002342,1.91952590468376,0.0290633009011616,0.197807627966384
791,1,2,0.01,0.0457944218806043,0.493566398221576,2.12162014681834,1.92025157783675,0.018237224525283,0.197472023948732
792,1,2,0.01,0.0414572586521582,0.493435408645459,2.05196717930519,1.9210187959017,0.0157895631941977,0.197415403200126
793,1,2,0.01,0.0390183911365776,0.493305346798358,2.00073871439744,1.92181726884556,0.0141351163190836,0.197364622420328
794,1,2,0.01,0.0370521292600768,0.493176205706179,1.95622190506307,1.92264570794358,0.0134456574730307,0.197314579904291
795,1,2,0.01,0.035692356828012,0.493047965173252,1.91894695219915,1.92350413563338,0.0128497382926327,0.197264887531033
796,1,2,0.01,0.0345871317360782,0.492920603882484,1.88569471951214,1.92439259898261,0.0124597777032789,0.197215525838489
797,1,2,0.01,0.0337159828382453,0.49279410059164,1.85598134362278,1.92531113453303,0.012122244810903,0.197166485842755
798,1,2,0.01,0.0329775583461453,0.492668434176563,1.82872758704309,1.92625976465878,0.011854963488714,0.197117759456597
799,1,2,0.01,0.0323485198366886,0.492543583636585,1.80354415389382,1.9272384981958,0.0116211283719134,0.197069338668817
800,1,2,0.01,0.0317944498912856,0.492419528095881,1.77999132782745,1.92824733120304,0.0114198194972498,0.19702121551475
801,1,2,0.01,0.03130133121482,0.492296246804363,1.7578282433032,1.92928624772154,0.0112398280265573,0.196973382073968
802,1,2,0.01,0.0308551473089881,0.492173719138313,1.73683756352453,1.9303552205134,0.0110784403440717,0.196925830470433
803,1,2,0.01,0.0304479626081,0.492051924600724,1.71687007146291,1.93145421177972,0.0109313355596307,0.196878552872651
804,1,2,0.01,0.0300729448773367,0.491930842821413,1.69779950406743,1.93258317385727,0.0107964797316382,0.196831541493743
805,1,2,0.01,0.0297254023110644,0.491810453556877,1.67952811545565,1.9337420498936,0.0106717902213841,0.196784788591422
806,1,2,0.01,0.0294014593525337,0.491690736689929,1.66197349769264,1.93493077450074,0.01055591660906,0.196738286467884
807,1,2,0.01,0.0290981487992201,0.491571672229106,1.6450676735988,1.9361492743871,0.0104476629408655,0.196692027469607
808,1,2,0.01,0.0288130118821435,0.491453240307871,1.62875251405702,1.93739746896785,0.010346124414131,0.196646003987073
809,1,2,0.01,0.0285440484716273,0.491335421183609,1.6129783473585,1.93867527095353,0.010250528563896,0.196600208454411
810,0,2,0.01,0.0505061559059317,0.491628607233095,1.91998174169662,1.93807654571105,0.141065095773781,0.796509536119523
811,0,2,0.01,0.0755089548816039,0.491518916004653,2.34087597789373,1.93872932223553,0.394033978489519,0.80298810355673
812,1,2,0.01,0.0703143673486301,0.491809409124269,2.14331889348225,1.93809666256472,0.129370450365619,0.203407898902091
813,0,2,0.01,0.120870403809348,0.492087006048136,2.67512432095702,1.93795123623414,0.460782099192714,0.797045252949108
814,0,2,0.01,0.122635266763586,0.491971760983457,2.87827447598636,1.93849523693978,0.719437434567745,0.802830484993535
